root@nmszhwit2h:/notebooks# echo "[Terminal 1]"
[Terminal 1]
root@nmszhwit2h:/notebooks# nvidia-smi dmon
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    265     82      -   100     57      0      0   7600   1605 
    0    254     78      -    75     65      0      0   7600   1860 
    0    251     81      -    95     45      0      0   7600   1665 
    0    273     81      -   100     51      0      0   7600   1725 
    0    256     78      -    84     67      0      0   7600   1860 
    0    237     82      -    52     24      0      0   7600   1590 
    0    273     82      -   100     49      0      0   7600   1620 
    0    254     79      -   100     69      0      0   7600   1860 
    0    239     81      -    23      7      0      0   7600   1575 
    0    271     82      -   100     49      0      0   7600   1605 
    0    267     80      -   100     50      0      0   7600   1860 
    0    243     82      -    25     24      0      0   7600   1545 
    0    268     82      -   100     51      0      0   7600   1620 
    0    272     80      -   100     52      0      0   7600   1860 
    0    251     81      -    47     37      0      0   7600   1575 
    0    270     82      -   100     46      0      0   7600   1605 
    0    256     79      -    67     60      0      0   7600   1860 
    0    242     82      -    67     31      0      0   7600   1530 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    269     81      -   100     46      0      0   7600   1680 
    0    268     80      -    99     78      0      0   7600   1860 
    0    235     82      -    29     12      0      0   7600   1635 
    0    261     82      -    99     49      0      0   7600   1620 
    0    271     81      -   100     52      0      0   7600   1815 
    0    240     80      -    18     20      0      0   7600   1620 
    0    254     81      -    99     52      0      0   7600   1650 
    0    270     81      -   100     53      0      0   7600   1845 
    0    236     81      -    43     45      0      0   7600   1740 
    0    255     81      -    79     36      0      0   7600   1710 
    0    265     82      -   100     44      0      0   7600   1590 
    0    252     80      -   100     51      0      0   7600   1860 
    0    253     81      -    55     42      0      0   7600   1620 
    0    267     82      -    99     48      0      0   7600   1665 
    0    267     79      -   100     53      0      0   7600   1860 
    0    248     81      -    42     44      0      0   7600   1605 
    0    267     82      -   100     52      0      0   7600   1665 
    0    260     80      -    91     74      0      0   7600   1860 
    0    247     82      -    70     34      0      0   7600   1545 
    0    274     82      -   100     48      0      0   7600   1650 
    0    265     79      -    88     69      0      0   7600   1860 
    0    253     81      -    91     49      0      0   7600   1635 
    0    272     82      -   100     53      0      0   7600   1665 
    0    256     79      -    87     69      0      0   7600   1860 
    0    249     81      -    77     36      0      0   7600   1710 
    0    237     80      -     0      0      0      0   7600   1740 
    0    258     81      -    88     43      0      0   7600   1710 
    0    267     82      -   100     50      0      0   7600   1680 
    0    243     79      -    90     74      0      0   7600   1860 
    0    249     81      -    59     28      0      0   7600   1725 
    0    261     82      -    99     47      0      0   7600   1605 
    0    263     79      -   100     54      0      0   7600   1860 
    0    251     81      -    48     28      0      0   7600   1680 
    0    266     82      -   100     50      0      0   7600   1650 
    0    264     79      -   100     52      0      0   7600   1860 
    0    244     82      -    54     51      0      0   7600   1530 
    0    268     82      -   100     48      0      0   7600   1650 
    0    265     81      -   100     77      0      0   7600   1845 
    0    239     81      -    37     15      0      0   7600   1635 
    0    265     82      -    99     52      0      0   7600   1650 
    0    267     82      -   100     55      0      0   7600   1680 
    0    249     81      -    44     26      0      0   7600   1590 
    0    259     82      -   100     52      0      0   7600   1605 
    0    269     81      -   100     52      0      0   7600   1800 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    241     81      -    39     43      0      0   7600   1560 
    0    253     82      -   100     47      0      0   7600   1665 
    0    268     82      -   100     51      0      0   7600   1635 
    0    251     82      -    49     49      0      0   7600   1650 
    0    272     82      -   100     52      0      0   7600   1620 
    0    268     81      -   100     50      0      0   7600   1800 
    0    247     81      -    50     49      0      0   7600   1605 
    0    268     82      -    99     51      0      0   7600   1650 
    0    272     81      -   100     51      0      0   7600   1845 
    0    240     81      -    51     50      0      0   7600   1605 
    0    255     82      -    76     38      0      0   7600   1635 
    0    271     82      -    99     47      0      0   7600   1725 
    0    241     81      -    38     21      0      0   7600   1680 
    0    261     82      -    99     49      0      0   7600   1725 
    0    270     82      -   100     55      0      0   7600   1725 
    0    239     78      -    28     32      0      0   7600   1860 
    0    245     81      -    91     45      0      0   7600   1695 
    0    272     82      -   100     52      0      0   7600   1605 
    0    256     78      -    86     69      0      0   7600   1860 
    0    254     81      -    89     43      0      0   7600   1725 
    0    270     82      -   100     51      0      0   7600   1605 
    0    247     78      -    87     72      0      0   7600   1860 
    0    250     81      -    62     29      0      0   7600   1680 
    0    272     82      -    99     47      0      0   7600   1665 
    0    253     79      -   100     57      0      0   7600   1860 
    0    244     82      -    40     27      0      0   7600   1575 
    0    260     82      -   100     42      0      0   7600   1605 
    0    268     81      -   100     53      0      0   7600   1845 
    0    246     82      -    64     58      0      0   7600   1545 
    0    256     82      -    78     37      0      0   7600   1605 
    0    268     81      -    99     45      0      0   7600   1725 
    0    238     81      -    26      9      0      0   7600   1725 
    0    264     82      -   100     51      0      0   7600   1665 
    0    272     81      -   100     54      0      0   7600   1755 
    0    238     80      -    20     14      0      0   7600   1770 
    0    255     82      -   100     47      0      0   7600   1725 
    0    266     82      -   100     48      0      0   7600   1695 
    0    252     80      -    52     50      0      0   7600   1755 
    0    268     82      -   100     50      0      0   7600   1605 
    0    271     82      -   100     51      0      0   7600   1695 
    0    239     80      -    64     58      0      0   7600   1695 
    0    258     82      -    91     43      0      0   7600   1695 
    0    269     82      -   100     52      0      0   7600   1710 
    0    244     78      -    98     77      0      0   7600   1860 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    245     81      -    43     18      0      0   7600   1710 
    0    276     82      -   100     49      0      0   7600   1680 
    0    255     81      -    99     72      0      0   7600   1545 
    0    260     82      -   100     50      0      0   7600   1725 
    0    267     82      -   100     52      0      0   7600   1650 
    0    249     80      -    47     37      0      0   7600   1710 
    0    255     81      -   100     48      0      0   7600   1710 
    0    267     82      -   100     52      0      0   7600   1695 
    0    252     79      -    49     48      0      0   7600   1695 
    0    244     82      -    88     48      0      0   7600   1725 
    0    270     82      -   100     52      0      0   7600   1695 
    0    240     78      -    81     69      0      0   7600   1860 
    0    254     81      -    81     39      0      0   7600   1725 
    0    239     81      -    12      0      0      0   7600   1575 
    0    267     82      -    99     46      0      0   7600   1710 
    0    272     81      -   100     52      0      0   7600   1860 
    0    243     82      -    36     40      0      0   7600   1530 
    0    270     82      -    99     50      0      0   7600   1680 
    0    271     81      -   100     53      0      0   7600   1860 
    0    237     82      -    49     48      0      0   7600   1620 
    0    272     82      -   100     48      0      0   7600   1605 
    0    265     81      -   100     66      0      0   7600   1800 
    0    239     81      -    26      8      0      0   7600   1695 
    0    267     82      -    99     46      0      0   7600   1620 
    0    266     82      -   100     52      0      0   7600   1710 
    0    244     81      -    18     18      0      0   7600   1635 
    0    251     82      -    99     51      0      0   7600   1665 
    0    259     82      -   100     49      0      0   7600   1665 
    0    261     78      -    84     70      0      0   7600   1860 
    0    247     81      -    74     36      0      0   7600   1710 
    0    269     82      -   100     46      0      0   7600   1680 
    0    249     78      -    90     73      0      0   7600   1860 
    0    248     81      -    60     28      0      0   7600   1695 
    0    269     82      -    99     46      0      0   7600   1605 
    0    253     78      -   100     71      0      0   7600   1860 
    0    250     81      -    54     24      0      0   7600   1725 
    0    264     82      -   100     46      0      0   7600   1590 
    0    261     79      -   100     59      0      0   7600   1860 
    0    253     81      -    36     30      0      0   7600   1605 
    0    263     82      -   100     53      0      0   7600   1620 
    0    256     79      -    78     68      0      0   7600   1860 
    0    248     82      -    85     39      0      0   7600   1560 
    0    265     82      -    99     47      0      0   7600   1590 
    0    265     80      -    99     77      0      0   7600   1860 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    253     82      -    72     32      0      0   7600   1575 
    0    277     82      -   100     50      0      0   7600   1710 
    0    261     78      -    76     66      0      0   7600   1860 
    0    250     81      -    61     35      0      0   7600   1620 
    0    271     82      -   100     48      0      0   7600   1650 
    0    253     79      -    99     63      0      0   7600   1860 
    0    251     81      -    49     22      0      0   7600   1650 
    0    268     82      -   100     51      0      0   7600   1635 
    0    264     79      -   100     57      0      0   7600   1860 
    0    244     82      -    34     19      0      0   7600   1620 
    0    271     82      -    99     49      0      0   7600   1650 
    0    268     79      -   100     55      0      0   7600   1860 
    0    241     82      -    93     46      0      0   7600   1590 
    0    263     82      -   100     49      0      0   7600   1605 
    0    268     80      -    98     77      0      0   7600   1860 
    0    236     82      -    30     11      0      0   7600   1620 
    0    263     82      -   100     50      0      0   7600   1605 
    0    271     81      -   100     53      0      0   7600   1815 
    0    243     82      -    36     23      0      0   7600   1590 
    0    260     82      -    99     48      0      0   7600   1635 
    0    265     81      -   100     53      0      0   7600   1845 
    0    242     82      -    39     42      0      0   7600   1650 
    0    272     82      -    99     51      0      0   7600   1605 
    0    269     81      -   100     51      0      0   7600   1830 
    0    240     81      -    63     58      0      0   7600   1665 
    0    258     82      -    92     45      0      0   7600   1590 
    0    267     82      -   100     51      0      0   7600   1755 
    0    245     80      -    91     74      0      0   7600   1650 
    0    244     82      -    46     20      0      0   7600   1725 
    0    270     82      -   100     52      0      0   7600   1695 
    0    241     78      -    35     39      0      0   7600   1860 
    0    250     81      -    99     54      0      0   7600   1695 
    0    271     82      -   100     52      0      0   7600   1635 
    0    251     78      -    48     48      0      0   7600   1860 
    0    248     81      -    98     50      0      0   7600   1725 
    0    274     82      -   100     51      0      0   7600   1695 
    0    254     79      -    76     67      0      0   7600   1860 
    0    248     81      -    77     37      0      0   7600   1725 
    0    268     82      -   100     46      0      0   7600   1605 
    0    251     79      -   100     69      0      0   7600   1860 
    0    246     82      -    38     15      0      0   7600   1575 
    0    274     82      -    99     48      0      0   7600   1620 
    0    261     79      -   100     56      0      0   7600   1860 
    0    247     82      -    32     21      0      0   7600   1545 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    267     82      -   100     48      0      0   7600   1605 
    0    245     82      -    54     24      0      0   7600   1755 
    0    270     82      -   100     49      0      0   7600   1695 
    0    249     81      -    45     23      0      0   7600   1680 
    0    261     82      -   100     49      0      0   7600   1710 
    0    275     82      -   100     59      0      0   7600   1770 
    0    238     78      -    36     40      0      0   7600   1860 
    0    251     82      -   100     52      0      0   7600   1665 
    0    273     82      -   100     51      0      0   7600   1635 
    0    249     79      -    70     61      0      0   7600   1860 
    0    255     82      -   100     51      0      0   7600   1725 
    0    272     82      -   100     51      0      0   7600   1665 
    0    252     82      -    58     55      0      0   7600   1680 
    0    263     82      -    95     50      0      0   7600   1635 
    0    272     82      -   100     55      0      0   7600   1710 
    0    249     81      -    67     58      0      0   7600   1665 
    0    259     82      -    94     49      0      0   7600   1650 
    0    268     82      -   100     50      0      0   7600   1725 
    0    247     80      -    99     71      0      0   7600   1575 
    0    250     82      -    58     27      0      0   7600   1680 
    0    273     82      -   100     66      0      0   7600   1785 
    0    238     81      -    28     12      0      0   7600   1575 
    0    258     82      -   100     49      0      0   7600   1650 
    0    264     82      -   100     51      0      0   7600   1680 
    0    255     81      -    47     41      0      0   7600   1740 
    0    251     82      -    99     52      0      0   7600   1725 
    0    264     82      -   100     52      0      0   7600   1710 
    0    259     79      -    88     69      0      0   7600   1860 
    0    248     81      -    75     35      0      0   7600   1680 
    0    274     82      -   100     51      0      0   7600   1710 
    0    251     81      -    69     60      0      0   7600   1710 
    0    263     83      -   100     50      0      0   7600   1605 
    0    265     82      -    98     50      0      0   7600   1695 
    0    246     80      -    97     75      0      0   7600   1665 
    0    246     82      -    51     23      0      0   7600   1725 
    0    276     83      -    99     49      0      0   7600   1620 
    0    252     79      -    99     66      0      0   7600   1860 
    0    217     78      -     3      0      0      0   7600   1860 
    0    107     77      -     0      0      0      0   7600   1860 
    0    101     76      -     1      0      0      0   7600   1800 
    0     97     75      -     8      0      0      0   7600   1800 
    0     96     75      -     0      0      0      0   7600   1800 
    0     95     74      -     0      0      0      0   7600   1800 
    0     94     74      -     0      0      0      0   7600   1800 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     94     73      -     0      0      0      0   7600   1800 
    0     94     73      -     0      0      0      0   7600   1800 
    0     93     72      -     0      0      0      0   7600   1800 
    0    185     77      -   100     46      0      0   7600   1710 
    0    244     74      -    91     74      0      0   7600   1875 
    0    245     77      -    62     30      0      0   7600   1725 
    0    267     78      -    99     46      0      0   7600   1620 
    0    249     75      -   100     70      0      0   7600   1875 
    0    237     78      -    36     22      0      0   7600   1635 
    0    268     79      -    99     49      0      0   7600   1635 
    0    267     75      -   100     53      0      0   7600   1875 
    0    241     78      -    88     43      0      0   7600   1590 
    0    268     79      -   100     51      0      0   7600   1665 
    0    258     76      -    83     67      0      0   7600   1875 
    0    231     79      -    45     19      0      0   7600   1620 
    0    268     79      -   100     46      0      0   7600   1680 
    0    264     79      -   100     52      0      0   7600   1770 
    0    238     78      -    27     31      0      0   7600   1695 
    0    266     79      -   100     53      0      0   7600   1680 
    0    268     80      -   100     54      0      0   7600   1650 
    0    230     76      -    85     68      0      0   7600   1875 
    0    237     79      -    27     10      0      0   7600   1590 
    0    262     79      -   100     46      0      0   7600   1695 
    0    266     77      -   100     51      0      0   7600   1875 
    0    246     79      -    39     33      0      0   7600   1575 
    0    258     79      -   100     50      0      0   7600   1695 
    0    258     79      -    93     75      0      0   7600   1875 
    0    245     80      -    59     28      0      0   7600   1560 
    0    273     80      -    99     48      0      0   7600   1635 
    0    262     79      -   100     68      0      0   7600   1860 
    0    239     80      -    30     14      0      0   7600   1575 
    0    259     80      -   100     49      0      0   7600   1650 
    0    262     80      -   100     52      0      0   7600   1740 
    0    238     78      -    50     49      0      0   7600   1755 
    0    268     81      -   100     51      0      0   7600   1620 
    0    269     80      -   100     58      0      0   7600   1665 
    0    235     77      -    89     70      0      0   7600   1860 
    0    243     80      -    44     19      0      0   7600   1695 
    0    272     80      -   100     50      0      0   7600   1665 
    0    257     77      -   100     67      0      0   7600   1860 
    0    230     80      -    20     22      0      0   7600   1530 
    0    268     81      -   100     50      0      0   7600   1605 
    0    261     80      -   100     52      0      0   7600   1860 
    0    231     80      -   100     49      0      0   7600   1650 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    255     77      -    83     70      0      0   7600   1860 
    0    242     80      -    70     35      0      0   7600   1620 
    0    269     81      -   100     45      0      0   7600   1605 
    0    249     77      -    92     74      0      0   7600   1860 
    0    248     80      -    52     24      0      0   7600   1620 
    0    272     81      -   100     50      0      0   7600   1665 
